"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Moteurs de recherche","0","DuckDuckGo Search","1","0","Recherche par nom","0"
"0","Moteurs de recherche","0","Google Search","1","0","Recherche par nom","0"
