"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Vérifie que DuckDuckGo retourne des résultats pour Julius KONAN","5323","Recherche DuckDuckGo - Julius KONAN","tuto_pipeline","2026-05-27","passed","2026-05-27","","test_google_search","",""
"Vérifie que la recherche Google retourne des résultats pour Julius KONAN","18746","Recherche Google - Julius KONAN","tuto_pipeline","2026-05-15","passed","2026-05-15","","test_google_search","",""
